word,is_major,major_num
อู่,TRUE,0
รา,TRUE,1
ขา,TRUE,2
เต่า,TRUE,3
เสา,TRUE,4
ใบไม้,TRUE,5
เหา,TRUE,6
จาน,TRUE,7
ปู,TRUE,8
กา,TRUE,9
เรือ,TRUE,10
โรงเรียน,TRUE,11
แรดขาว,TRUE,12
รถเต่า,TRUE,13
รังสี,TRUE,14
ระเบิด,TRUE,15
ราหู,TRUE,16
รจนา,TRUE,17
รูปี,TRUE,18
ระกำ,TRUE,19
ขอ,TRUE,20
ขาแร้ง,TRUE,21
ไข่ขาว,TRUE,22
ไข่เต่า,TRUE,23
ข้าวสวย,TRUE,24
ขาบาน,TRUE,25
ขี้หู,TRUE,26
ไข่เจียว,TRUE,27
ไข่ปู,TRUE,28
ไข่ไก่,TRUE,29
ตอ,TRUE,30
ตำรา,TRUE,31
ตาข่าย,TRUE,32
ตาตุ่ม,TRUE,33
ตาใส,TRUE,34
ตะไบ,TRUE,35
เต้าหู้,TRUE,36
เต้าเจี้ยว,TRUE,37
ตะปู,TRUE,38
โตก,TRUE,39
เสือ,TRUE,40
โสร่ง,TRUE,41
สุขา,TRUE,42
สตางค์,TRUE,43
สุสาน,TRUE,44
่สบู่,TRUE,45
สิงห์,TRUE,46
ส้มจีน,TRUE,47
สปา,TRUE,48
สกี,TRUE,49
บ่อ,TRUE,50
บรา,TRUE,51
บัวขาว,TRUE,52
บีต้า,TRUE,53
โบสถ์,TRUE,54
บ้าบิ่น,TRUE,55
บะหมี่,TRUE,56
บาจา,TRUE,57
ใบปลิว,TRUE,58
บิกินี่,TRUE,59
หอ,TRUE,60
โหร,TRUE,61
หัวเข่า,TRUE,62
หัวเต่า,TRUE,63
หงส์,TRUE,64
หีบ,TRUE,65
หูใหญ่,TRUE,66
หัวใจ,TRUE,67
หัวปลา,TRUE,68
หางไก่,TRUE,69
จอ,TRUE,70
โจร,TRUE,71
จรเข้,TRUE,72
จาวตาล,TRUE,73
เจ็ดสี,TRUE,74
จัมโบ้,TRUE,75
จดหมาย,TRUE,76
จ้ำจี้,TRUE,77
จำปี,TRUE,78
โจ๊ก,TRUE,79
ป้อม,TRUE,80
เปรู,TRUE,81
ปูขน,TRUE,82
ปลาตีน,TRUE,83
เปลสนาม,TRUE,84
ปลาบู่,TRUE,85
ปาหี่,TRUE,86
ปูจ๋า,TRUE,87
ไปป์,TRUE,88
ปาก,TRUE,89
เก้าอี้,TRUE,90
กระ,TRUE,91
ไก่ขาว,TRUE,92
ไก่ต้ม,TRUE,93
แก๊ส,TRUE,94
กบ,TRUE,95
เกาหลี,TRUE,96
ไก่แจ้,TRUE,97
กะปิ,TRUE,98
กก,TRUE,99
เรือไอ,TRUE,100
